
;22020002;Correios;Impresso Econômico;RJ;Módico; 10
;22020002;GolLog;GolLog DOC;NA;DOC; 2
;22020002;Jadlog;Jadlog Rodoviario;RJ;Capital; 2
;22020002;Loggi;Loggi Standard;RJ;RJ Zona 1; 2
;22020002;Transfolha;Transfolha Terrestre;RJ;RJ 3; 3
;22020002;Speedlog;Speedlog Standard;RJ;Capital; 4
;22020002;SPLog;SPLog Standard;RJ;RJ; 15
;22020002;Azul Cargo;Azul Cargo Express;RJ;Capital; 6
;56460000;Correios;Impresso Econômico;PE;Módico; 10
;56460000;Jadlog;Jadlog Rodoviario;PE;Interior; 12
;35420000;Correios;Impresso Econômico;MG;Módico; 10
;35420000;Jadlog;Jadlog Rodoviario;MG;Capital; 3
;35420000;Nowlog;Nowlog Standard;MG;INT.01; 6
;76808524;Correios;Impresso Econômico;RO;Módico; 12
;76808524;GolLog;GolLog DOC;NA;DOC; 4
;76808524;Jadlog;Jadlog Rodoviario;RO;Capital; 15
;76808524;Nowlog;Nowlog Standard;RO;CAP.01; 8
;76808524;Azul Cargo;Azul Cargo Express;RO;Capital; 6