1;2;3;4;5;67
1222001;SPLog;SPLog Standard;SP;SPC;15
1222010;SPLog;SPLog Standard;SP;SPC;15
1222020;SPLog;SPLog Standard;SP;SPC;15
1223000;SPLog;SPLog Standard;SP;SPC;15
1223001;SPLog;SPLog Standard;SP;SPC;15
1223010;SPLog;SPLog Standard;SP;SPC;15
1223011;SPLog;SPLog Standard;SP;SPC;15
1224001;SPLog;SPLog Standard;SP;SPC;15
1224010;SPLog;SPLog Standard;SP;SPC;15
1224011;SPLog;SPLog Standard;SP;SPC;15
1224020;SPLog;SPLog Standard;SP;SPC;15
1224030;SPLog;SPLog Standard;SP;SPC;15
1225001;SPLog;SPLog Standard;SP;SPC;15
1226000;SPLog;SPLog Standard;SP;SPC;15
1226001;SPLog;SPLog Standard;SP;SPC;15
1226010;SPLog;SPLog Standard;SP;SPC;15
1226020;SPLog;SPLog Standard;SP;SPC;15
1226030;SPLog;SPLog Standard;SP;SPC;15
1227000;SPLog;SPLog Standard;SP;SPC;15
1227100;SPLog;SPLog Standard;SP;SPC;15
1227200;SPLog;SPLog Standard;SP;SPC;15
1228000;SPLog;SPLog Standard;SP;SPC;15
1228100;SPLog;SPLog Standard;SP;SPC;15
1228200;SPLog;SPLog Standard;SP;SPC;15
1229001;SPLog;SPLog Standard;SP;SPC;15
1229010;SPLog;SPLog Standard;SP;SPC;15
1230000;SPLog;SPLog Standard;SP;SPC;15
1230001;SPLog;SPLog Standard;SP;SPC;15
1230010;SPLog;SPLog Standard;SP;SPC;15
1230020;SPLog;SPLog Standard;SP;SPC;15
1230900;SPLog;SPLog Standard;SP;SPC;15
1231000;SPLog;SPLog Standard;SP;SPC;15
1231001;SPLog;SPLog Standard;SP;SPC;15
1231010;SPLog;SPLog Standard;SP;SPC;15
1231011;SPLog;SPLog Standard;SP;SPC;15
1232000;SPLog;SPLog Standard;SP;SPC;15
1232001;SPLog;SPLog Standard;SP;SPC;15
1232010;SPLog;SPLog Standard;SP;SPC;15
1232011;SPLog;SPLog Standard;SP;SPC;15
1232020;SPLog;SPLog Standard;SP;SPC;15
1232030;SPLog;SPLog Standard;SP;SPC;15
1233000;SPLog;SPLog Standard;SP;SPC;15
1233001;SPLog;SPLog Standard;SP;SPC;15
1234020;SPLog;SPLog Standard;SP;SPC;15
1235020;SPLog;SPLog Standard;SP;SPC;15
1236000;SPLog;SPLog Standard;SP;SPC;15
1236010;SPLog;SPLog Standard;SP;SPC;15
1237020;SPLog;SPLog Standard;SP;SPC;15
1238000;SPLog;SPLog Standard;SP;SPC;15
1238001;SPLog;SPLog Standard;SP;SPC;15
1238010;SPLog;SPLog Standard;SP;SPC;15
1238902;SPLog;SPLog Standard;SP;SPC;15
1239000;SPLog;SPLog Standard;SP;SPC;15
1239001;SPLog;SPLog Standard;SP;SPC;15
1239010;SPLog;SPLog Standard;SP;SPC;15
1239011;SPLog;SPLog Standard;SP;SPC;15
1239020;SPLog;SPLog Standard;SP;SPC;15
1239908;SPLog;SPLog Standard;SP;SPC;15
1240000;SPLog;SPLog Standard;SP;SPC;15
1240001;SPLog;SPLog Standard;SP;SPC;15
1240010;SPLog;SPLog Standard;SP;SPC;15
1240020;SPLog;SPLog Standard;SP;SPC;15
1240030;SPLog;SPLog Standard;SP;SPC;15
1241000;SPLog;SPLog Standard;SP;SPC;15
1241001;SPLog;SPLog Standard;SP;SPC;15
1242000;SPLog;SPLog Standard;SP;SPC;15
1242001;SPLog;SPLog Standard;SP;SPC;15
1243000;SPLog;SPLog Standard;SP;SPC;15
1243001;SPLog;SPLog Standard;SP;SPC;15
1243010;SPLog;SPLog Standard;SP;SPC;15
1243020;SPLog;SPLog Standard;SP;SPC;15
1243030;SPLog;SPLog Standard;SP;SPC;15
1244000;SPLog;SPLog Standard;SP;SPC;15
1244001;SPLog;SPLog Standard;SP;SPC;15
1244010;SPLog;SPLog Standard;SP;SPC;15
1244020;SPLog;SPLog Standard;SP;SPC;15
1247020;SPLog;SPLog Standard;SP;SPC;15
1248030;SPLog;SPLog Standard;SP;SPC;15
1249010;SPLog;SPLog Standard;SP;SPC;15
1251020;SPLog;SPLog Standard;SP;SPC;15
1251050;SPLog;SPLog Standard;SP;SPC;15
1252000;SPLog;SPLog Standard;SP;SPC;15
1252050;SPLog;SPLog Standard;SP;SPC;15
1252070;SPLog;SPLog Standard;SP;SPC;15
1253020;SPLog;SPLog Standard;SP;SPC;15
1253030;SPLog;SPLog Standard;SP;SPC;15
1253040;SPLog;SPLog Standard;SP;SPC;15
1253040;SPLog;SPLog Standard;SP;SPC;15
1254000;SPLog;SPLog Standard;SP;SPC;15
1254040;SPLog;SPLog Standard;SP;SPC;15
