1;2;3;4;5;6
1047010;Speedlog;Speedlog Standard;SP;Capital;3
1103000;Speedlog;Speedlog Standard;SP;Capital;3
1137010;Speedlog;Speedlog Standard;SP;Capital;3
1224020;Speedlog;Speedlog Standard;SP;Capital;3
1242000;Speedlog;Speedlog Standard;SP;Capital;3
1307012;Speedlog;Speedlog Standard;SP;Capital;3
1310928;Speedlog;Speedlog Standard;SP;Capital;3
1319900;Speedlog;Speedlog Standard;SP;Capital;3
1415000;Speedlog;Speedlog Standard;SP;Capital;3
1451000;Speedlog;Speedlog Standard;SP;Capital;3
2241120;Speedlog;Speedlog Standard;SP;Capital;4
2279060;Speedlog;Speedlog Standard;SP;Capital;4
2280120;Speedlog;Speedlog Standard;SP;Capital;4
2310010;Speedlog;Speedlog Standard;SP;Capital;4
2324070;Speedlog;Speedlog Standard;SP;Capital;4
2324080;Speedlog;Speedlog Standard;SP;Capital;4
2324140;Speedlog;Speedlog Standard;SP;Capital;4
2328161;Speedlog;Speedlog Standard;SP;Capital;3
2328161;Speedlog;Speedlog Standard;SP;Capital;3
2361010;Speedlog;Speedlog Standard;SP;Capital;3
2365000;Speedlog;Speedlog Standard;SP;Capital;4
2374000;Speedlog;Speedlog Standard;SP;Capital;4
2680020;Speedlog;Speedlog Standard;SP;Capital;4
2801000;Speedlog;Speedlog Standard;SP;Capital;3
2814000;Speedlog;Speedlog Standard;SP;Capital;3
2835020;Speedlog;Speedlog Standard;SP;Capital;3
2846150;Speedlog;Speedlog Standard;SP;Capital;3
2847060;Speedlog;Speedlog Standard;SP;Capital;3
2847060;Speedlog;Speedlog Standard;SP;Capital;3
2850020;Speedlog;Speedlog Standard;SP;Capital;3
2854050;Speedlog;Speedlog Standard;SP;Capital;3
2855040;Speedlog;Speedlog Standard;SP;Capital;3
2860001;Speedlog;Speedlog Standard;SP;Capital;3
2861060;Speedlog;Speedlog Standard;SP;Capital;3
2867040;Speedlog;Speedlog Standard;SP;Capital;3
2867080;Speedlog;Speedlog Standard;SP;Capital;3
2873370;Speedlog;Speedlog Standard;SP;Capital;3
2873400;Speedlog;Speedlog Standard;SP;Capital;3
2873520;Speedlog;Speedlog Standard;SP;Capital;3
2873520;Speedlog;Speedlog Standard;SP;Capital;3
2875070;Speedlog;Speedlog Standard;SP;Capital;3
