
;79990000;Nowlog;Nowlog Standard;MS;INT.02; 15
;71910360;Carriers;Carriers Standard;DF;INT; 5
;71910360;Nowlog;Nowlog Standard;DF;CAP.01; 4
;72020270;Carriers;Carriers Standard;DF;INT; 5
;72020270;Nowlog;Nowlog Standard;DF;CAP.01; 4
;70670211;Carriers;Carriers Standard;DF;CAP; 5
;70670211;Nowlog;Nowlog Standard;DF;CAP.01; 4
;70645210;Carriers;Carriers Standard;DF;CAP; 5
;70645210;Nowlog;Nowlog Standard;DF;CAP.01; 4
;72225010;Carriers;Carriers Standard;DF;INT; 6
;72225010;Nowlog;Nowlog Standard;DF;CAP.01; 4
;70347010;Carriers;Carriers Standard;DF;CAP; 5
;70347010;Nowlog;Nowlog Standard;DF;CAP.01; 4
;70760701;Carriers;Carriers Standard;DF;CAP; 5
;70760701;Nowlog;Nowlog Standard;DF;CAP.01; 4
;75370000;Nowlog;Nowlog Standard;GO;INT.02; 12
;71015077;Carriers;Carriers Standard;DF;INT; 5
;71015077;Nowlog;Nowlog Standard;DF;CAP.01; 4
;70790156;Carriers;Carriers Standard;DF;CAP; 5
;70790156;Nowlog;Nowlog Standard;DF;CAP.01; 4
;72255603;Carriers;Carriers Standard;DF;INT; 6
;72255603;Nowlog;Nowlog Standard;DF;CAP.01; 4
;72110130;Carriers;Carriers Standard;DF;INT; 6
;72110130;Nowlog;Nowlog Standard;DF;CAP.01; 4
;79092080;Nowlog;Nowlog Standard;MS;CAP.01; 5
;75100784;Nowlog;Nowlog Standard;GO;INT.01; 7
;70773010;Carriers;Carriers Standard;DF;CAP; 5
;70773010;Nowlog;Nowlog Standard;DF;CAP.01; 4
;72115135;Carriers;Carriers Standard;DF;INT; 6
;72115135;Nowlog;Nowlog Standard;DF;CAP.01; 4
;73090000;Carriers;Carriers Standard;DF;INT; 6
;73090000;Nowlog;Nowlog Standard;DF;CAP.01; 4
;71917000;Carriers;Carriers Standard;DF;INT; 5
;71917000;Nowlog;Nowlog Standard;DF;CAP.01; 4
;70766060;Carriers;Carriers Standard;DF;CAP; 5
;70766060;Nowlog;Nowlog Standard;DF;CAP.01; 4
;71925720;Carriers;Carriers Standard;DF;INT; 5
;71925720;Nowlog;Nowlog Standard;DF;CAP.01; 4
;79092011;Nowlog;Nowlog Standard;MS;CAP.01; 5
;70390135;Carriers;Carriers Standard;DF;CAP; 5
;70390135;Nowlog;Nowlog Standard;DF;CAP.01; 4
;71936250;Carriers;Carriers Standard;DF;INT; 5
;71936250;Nowlog;Nowlog Standard;DF;CAP.01; 4
;71218010;Carriers;Carriers Standard;DF;INT; 5
;71218010;Nowlog;Nowlog Standard;DF;CAP.01; 4
;75340000;Nowlog;Nowlog Standard;GO;INT.01; 7
;70790123;Carriers;Carriers Standard;DF;CAP; 5
;70790123;Nowlog;Nowlog Standard;DF;CAP.01; 4
;70387040;Carriers;Carriers Standard;DF;CAP; 5
;70387040;Nowlog;Nowlog Standard;DF;CAP.01; 4
;74070160;Nowlog;Nowlog Standard;GO;CAP.01; 4
;79041330;Nowlog;Nowlog Standard;MS;CAP.01; 5
;73105905;Carriers;Carriers Standard;DF;INT; 6
;73105905;Nowlog;Nowlog Standard;DF;CAP.01; 4
;74968511;Nowlog;Nowlog Standard;GO;INT.01; 5
;71926000;Carriers;Carriers Standard;DF;INT; 5
;71926000;Nowlog;Nowlog Standard;DF;CAP.01; 4
