1;2;3;4;65;6
1202010;Correios;Impresso Econômico;SP;Módico;9
1226001;Correios;Impresso Econômico;SP;Módico;9
1240000;Correios;Impresso Econômico;SP;Módico;9
1240001;Correios;Impresso Econômico;SP;Módico;9
1305100;Correios;Impresso Econômico;SP;Módico;9
1307000;Correios;Impresso Econômico;SP;Módico;9
1307000;Correios;Impresso Econômico;SP;Módico;9
1333011;Correios;Impresso Econômico;SP;Módico;9
1452002;Correios;Impresso Econômico;SP;Módico;9
1452002;Correios;Impresso Econômico;SP;Módico;9
1511001;Correios;Impresso Econômico;SP;Módico;9
1511001;Correios;Impresso Econômico;SP;Módico;9
2406010;Correios;Impresso Econômico;SP;Módico;9
2542000;Correios;Impresso Econômico;SP;Módico;9
2552140;Correios;Impresso Econômico;SP;Módico;9
2714020;Correios;Impresso Econômico;SP;Módico;9
2714020;Correios;Impresso Econômico;SP;Módico;9
2998240;Correios;Impresso Econômico;SP;Módico;9
3015000;Correios;Impresso Econômico;SP;Módico;9
3073060;Correios;Impresso Econômico;SP;Módico;9
3089970;Correios;Impresso Econômico;SP;Módico;9
3127175;Correios;Impresso Econômico;SP;Módico;9
3127175;Correios;Impresso Econômico;SP;Módico;9
3152130;Correios;Impresso Econômico;SP;Módico;9
3413040;Correios;Impresso Econômico;SP;Módico;9
3816150;Correios;Impresso Econômico;SP;Módico;9
3983020;Correios;Impresso Econômico;SP;Módico;9
4010200;Correios;Impresso Econômico;SP;Módico;9
4023900;Correios;Impresso Econômico;SP;Módico;9
4023900;Correios;Impresso Econômico;SP;Módico;9
4047001;Correios;Impresso Econômico;SP;Módico;9
4058070;Correios;Impresso Econômico;SP;Módico;9
4094050;Correios;Impresso Econômico;SP;Módico;9
4101000;Correios;Impresso Econômico;SP;Módico;9
4133000;Correios;Impresso Econômico;SP;Módico;9
4184000;Correios;Impresso Econômico;SP;Módico;9
4190060;Correios;Impresso Econômico;SP;Módico;9
4190060;Correios;Impresso Econômico;SP;Módico;9
4251000;Correios;Impresso Econômico;SP;Módico;9
4297000;Correios;Impresso Econômico;SP;Módico;9
4313200;Correios;Impresso Econômico;SP;Módico;9
4324090;Correios;Impresso Econômico;SP;Módico;9
4374000;Correios;Impresso Econômico;SP;Módico;9
4374000;Correios;Impresso Econômico;SP;Módico;9
4408010;Correios;Impresso Econômico;SP;Módico;9
4408110;Correios;Impresso Econômico;SP;Módico;9
4412140;Correios;Impresso Econômico;SP;Módico;9
4547003;Correios;Impresso Econômico;SP;Módico;9
4552000;Correios;Impresso Econômico;SP;Módico;9
4557050;Correios;Impresso Econômico;SP;Módico;9
4557050;Correios;Impresso Econômico;SP;Módico;9
4560010;Correios;Impresso Econômico;SP;Módico;9
4560021;Correios;Impresso Econômico;SP;Módico;9
4571090;Correios;Impresso Econômico;SP;Módico;9
4794000;Correios;Impresso Econômico;SP;Módico;9
4849050;Correios;Impresso Econômico;SP;Módico;9
4864120;Correios;Impresso Econômico;SP;Módico;9
4865000;Correios;Impresso Econômico;SP;Módico;9
4872060;Correios;Impresso Econômico;SP;Módico;9
4890090;Correios;Impresso Econômico;SP;Módico;9
4895270;Correios;Impresso Econômico;SP;Módico;9
4929080;Correios;Impresso Econômico;SP;Módico;9
5017000;Correios;Impresso Econômico;SP;Módico;9
5017000;Correios;Impresso Econômico;SP;Módico;9
5018000;Correios;Impresso Econômico;SP;Módico;9
5018000;Correios;Impresso Econômico;SP;Módico;9
5050000;Correios;Impresso Econômico;SP;Módico;9
5051000;Correios;Impresso Econômico;SP;Módico;9
5089000;Correios;Impresso Econômico;SP;Módico;9
5089000;Correios;Impresso Econômico;SP;Módico;9
5140000;Correios;Impresso Econômico;SP;Módico;9
5145000;Correios;Impresso Econômico;SP;Módico;9
5210070;Correios;Impresso Econômico;SP;Módico;9
5274001;Correios;Impresso Econômico;SP;Módico;9
5305030;Correios;Impresso Econômico;SP;Módico;9
5311010;Correios;Impresso Econômico;SP;Módico;9
5379971;Correios;Impresso Econômico;SP;Módico;9
5416000;Correios;Impresso Econômico;SP;Módico;9
5428010;Correios;Impresso Econômico;SP;Módico;9
5433002;Correios;Impresso Econômico;SP;Módico;9
5454080;Correios;Impresso Econômico;SP;Módico;9
5469000;Correios;Impresso Econômico;SP;Módico;9
5469000;Correios;Impresso Econômico;SP;Módico;9
5508030;Correios;Impresso Econômico;SP;Módico;9
5513970;Correios;Impresso Econômico;SP;Módico;9
5513970;Correios;Impresso Econômico;SP;Módico;9
5783050;Correios;Impresso Econômico;SP;Módico;9
5783050;Correios;Impresso Econômico;SP;Módico;9
6360140;Correios;Impresso Econômico;SP;Módico;9
6390280;Correios;Impresso Econômico;SP;Módico;9
6402200;Correios;Impresso Econômico;SP;Módico;9
6402200;Correios;Impresso Econômico;SP;Módico;9
6413690;Correios;Impresso Econômico;SP;Módico;9
6416180;Correios;Impresso Econômico;SP;Módico;9
6436000;Correios;Impresso Econômico;SP;Módico;9
6458040;Correios;Impresso Econômico;SP;Módico;9
6473000;Correios;Impresso Econômico;SP;Módico;9
6716572;Correios;Impresso Econômico;SP;Módico;9
6823080;Correios;Impresso Econômico;SP;Módico;9
6824120;Correios;Impresso Econômico;SP;Módico;9
6850970;Correios;Impresso Econômico;SP;Módico;9
6900000;Correios;Impresso Econômico;SP;Módico;9
7184030;Correios;Impresso Econômico;SP;Módico;9
7600000;Correios;Impresso Econômico;SP;Módico;9
7600000;Correios;Impresso Econômico;SP;Módico;9
